City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,Punta Arenas,CL,51.91,scattered clouds,-53.15,-70.9167,Hotel Hain
122,Bethel,US,65.03,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
123,Tucuman,AR,68.0,light intensity drizzle,-26.8241,-65.2226,Dallas Hotel Tucuman
124,Muli,MV,85.17,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
127,Talnakh,RU,29.21,snow,69.4865,88.3972,Talnakh Hotel
128,Sioux Lookout,CA,35.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
130,Panaba,MX,93.4,broken clouds,21.2833,-88.2667,Hotel California
132,Kawalu,ID,72.48,broken clouds,-7.3817,108.2082,West Jontor
134,Robertsport,LR,82.45,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
137,Ancud,CL,53.22,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
138,Tual,ID,83.17,light rain,-5.6667,132.75,Grand Vilia Hotel
139,Oktyabrskoye,RU,46.54,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
140,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
141,Teguise,ES,68.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
142,Sabha,LY,85.8,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
145,Hof,DE,60.03,clear sky,50.3167,11.9167,Hotel Burghof
146,Bay Roberts,CA,41.05,overcast clouds,47.5999,-53.2648,Stonewall Inn
147,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
148,Kailua,US,75.49,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
149,Batagay,RU,5.41,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
150,Bondoukou,CI,96.22,broken clouds,8.0333,-2.8,Prestige Hotel
151,Lhokseumawe,ID,80.98,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
152,Lompoc,US,62.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
154,Margate,GB,59.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
155,Marsh Harbour,BS,74.52,clear sky,26.5412,-77.0636,Abaco Beach Resort
156,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
157,Westport,US,66.15,clear sky,41.1415,-73.3579,The Inn at Longshore
158,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
159,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
160,Prabumulih,ID,73.42,moderate rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
163,Ormara,PK,80.19,clear sky,25.2088,64.6357,Kenara Colony house for Rent
164,Amga,RU,1.99,broken clouds,60.8953,131.9608,Algys
165,New Norfolk,AU,52.72,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
167,Cranbrook,CA,26.44,overcast clouds,49.4999,-115.7688,Almo Court Motel
168,Aklavik,CA,10.4,few clouds,68.2191,-135.0107,Aklavik Inn
169,San Jeronimo,PE,61.72,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
170,Batticaloa,LK,81.34,overcast clouds,7.7102,81.6924,Grand Star Guest House
171,Portland,US,43.2,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
172,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
173,San Patricio,US,84.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
174,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
175,Ribas Do Rio Pardo,BR,94.12,clear sky,-20.4431,-53.7592,Pousada Avenida
176,Bubaque,GW,75.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
177,Dawlatabad,AF,71.92,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
178,Lyuban,BY,43.45,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
179,North Battleford,CA,16.41,overcast clouds,52.7834,-108.2847,Tropical Inn
180,Kokoda,PG,73.69,broken clouds,-8.8785,147.7407,Daito Guest House
181,Iberia,US,78.06,overcast clouds,29.9502,-91.7507,back to back rv park
182,Tazovskiy,RU,34.95,light snow,67.4667,78.7,TazHostel
183,La Ronge,CA,12.42,few clouds,55.1001,-105.2842,Northland Motor Hotel
184,Sainte-Thecle,CA,57.25,broken clouds,46.8168,-72.4991,Camping Lac et Forêt
185,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
186,Suba,PH,79.9,overcast clouds,10.8438,121.0102,Jarnchi Pension House
188,Balkanabat,TM,83.48,clear sky,39.5108,54.3671,Nebitchi Hotel
189,Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Hotel San Juan
190,Petropavlovsk-Kamchatskiy,RU,21.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
191,Waipawa,NZ,54.63,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
192,Spring Hill,US,84.06,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
193,Kawhia,NZ,62.51,overcast clouds,-38.0651,174.8183,Kawhia Beachside Scape Holiday Park
194,Victor Harbor,AU,54.0,broken clouds,-35.5667,138.6167,McCracken Country Club
195,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
196,Jacqueville,CI,82.81,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
197,Aksu,CN,66.47,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
198,Coihaique,CL,51.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
200,Seoul,KR,61.99,heavy intensity rain,37.5683,126.9778,롯데호텔 서울
201,Yenagoa,NG,84.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
202,Havoysund,NO,30.43,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
203,Santa Ines,BR,84.6,overcast clouds,-3.6667,-45.38,Palace hotel
204,Tasiilaq,GL,32.16,broken clouds,65.6145,-37.6368,The Red House
205,Kavieng,PG,81.63,clear sky,-2.5744,150.7967,Nusa Island Retreat
207,Ponta Delgada,PT,63.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
208,Brae,GB,43.36,overcast clouds,60.3964,-1.353,Busta House Hotel
209,Caldwell,US,40.98,broken clouds,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
210,Aneho,TG,84.4,scattered clouds,6.2333,1.6,Hotel La Linette
211,Along,IN,68.18,scattered clouds,28.1667,94.7667,Hotel West
212,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
213,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
214,Acarau,BR,82.63,overcast clouds,-2.8856,-40.12,castelo pizzaria
215,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
216,Namatanai,PG,78.4,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
217,Gornopravdinsk,RU,31.77,clear sky,60.05,69.9,Hostel
218,Paracatu,BR,89.55,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
219,Half Moon Bay,US,56.14,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
220,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
221,Yaounde,CM,79.74,broken clouds,3.8667,11.5167,Hotel Mérina Yaoundé
222,Saint-Leu,RE,77.83,few clouds,-21.15,55.2833,La Caz Oceane
223,Ginir,ET,63.28,overcast clouds,7.1333,40.7,Sura Dare Village
224,Iqaluit,CA,17.33,overcast clouds,63.7506,-68.5145,Frobisher Inn
225,Ilhabela,BR,81.57,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
226,Quthing,LS,54.3,overcast clouds,-30.4,27.7003,Mountainside Hotel
227,Tsiroanomandidy,MG,67.91,broken clouds,-18.7667,46.0333,Hotel Ravinala
228,Palu,ID,75.31,broken clouds,-0.8917,119.8707,Hotel Santika Palu
229,Botou,CN,49.73,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
230,Jabinyanah,TN,64.2,overcast clouds,35.035,10.9081,maison belmabrouk
231,Pacific Grove,US,56.01,clear sky,36.6177,-121.9166,Lovers Point Inn
232,Rabo De Peixe,PT,62.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
233,Nuevo Progreso,MX,81.46,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
235,Xuddur,SO,88.75,broken clouds,4.1213,43.8894,Banjanay Hotel
236,Chirongui,YT,80.53,broken clouds,-12.9319,45.1483,La Villa Mahatsara
238,Nome,US,32.07,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
239,Katsuura,JP,62.33,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
240,Diamantino,BR,91.63,clear sky,-14.4086,-56.4461,Hotel Delta
241,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,Havre-Saint-Pierre,CA,39.56,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
244,Tubuala,PA,81.81,broken clouds,9.5167,-79.0333,Río Nabagana
245,Mount Gambier,AU,46.42,clear sky,-37.8333,140.7667,The Commodore
246,Kudahuvadhoo,MV,85.32,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
247,Olafsvik,IS,38.3,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
248,Richards Bay,ZA,70.34,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
249,Bihoro,JP,40.26,light rain,43.8228,144.1044,グリーンビレッジ美幌
