City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Kavieng,PG,-2.5744,150.7967,81.63,76,7,9.51,clear sky
206,Oksfjord,NO,70.2396,22.3479,32.07,91,100,6.4,light snow
207,Ponta Delgada,PT,37.7333,-25.6667,63.32,88,40,14.97,scattered clouds
208,Brae,GB,60.3964,-1.353,43.36,75,100,16.28,overcast clouds
209,Caldwell,US,43.6629,-116.6874,40.98,48,75,20.71,broken clouds
210,Aneho,TG,6.2333,1.6,84.4,75,49,20.13,scattered clouds
211,Along,IN,28.1667,94.7667,68.18,88,42,1.48,scattered clouds
212,Avarua,CK,-21.2078,-159.775,75.25,94,75,9.22,broken clouds
213,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,14.97,clear sky
214,Acarau,BR,-2.8856,-40.12,82.63,77,95,7.85,overcast clouds
215,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,0,19.57,clear sky
216,Namatanai,PG,-3.6667,152.4333,78.4,76,21,6.04,few clouds
217,Gornopravdinsk,RU,60.05,69.9,31.77,98,5,4.76,clear sky
218,Paracatu,BR,-17.2222,-46.8747,89.55,40,33,5.77,scattered clouds
219,Half Moon Bay,US,37.4636,-122.4286,56.14,55,0,16.11,clear sky
220,The Valley,AI,18.217,-63.0578,82.54,61,40,14.97,scattered clouds
221,Yaounde,CM,3.8667,11.5167,79.74,63,69,2.55,broken clouds
222,Saint-Leu,RE,-21.15,55.2833,77.83,78,22,8.77,few clouds
223,Ginir,ET,7.1333,40.7,63.28,67,87,4.03,overcast clouds
224,Iqaluit,CA,63.7506,-68.5145,17.33,85,100,8.99,overcast clouds
225,Ilhabela,BR,-23.7781,-45.3581,81.57,77,99,6.11,overcast clouds
226,Quthing,LS,-30.4,27.7003,54.3,72,90,2.89,overcast clouds
227,Tsiroanomandidy,MG,-18.7667,46.0333,67.91,75,58,4.09,broken clouds
228,Palu,ID,-0.8917,119.8707,75.31,95,57,3.18,broken clouds
229,Botou,CN,38.0667,116.5667,49.73,42,100,5.7,overcast clouds
230,Jabinyanah,TN,35.035,10.9081,64.2,75,100,21.65,overcast clouds
231,Pacific Grove,US,36.6177,-121.9166,56.01,49,0,4.61,clear sky
232,Rabo De Peixe,PT,37.8,-25.5833,62.11,88,40,14.97,scattered clouds
233,Nuevo Progreso,MX,23.1667,-97.95,81.46,67,46,4.0,scattered clouds
234,Shagonar,RU,51.5333,92.8,36.0,64,99,3.8,overcast clouds
235,Xuddur,SO,4.1213,43.8894,88.75,37,81,10.76,broken clouds
236,Chirongui,YT,-12.9319,45.1483,80.53,69,72,5.84,broken clouds
237,Khatanga,RU,71.9667,102.5,-4.22,92,98,7.7,overcast clouds
238,Nome,US,64.5011,-165.4064,32.07,74,100,4.61,overcast clouds
239,Katsuura,JP,35.1333,140.3,62.33,94,2,12.75,clear sky
240,Diamantino,BR,-14.4086,-56.4461,91.63,45,8,4.59,clear sky
