City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Datong,CN,2022-04-04 17:36:38,40.0936,113.2914,50.49,25,7,6.29
152,Bethel,US,2022-04-04 17:36:38,41.3712,-73.414,54.01,50,40,10.36
153,Zatoka,UA,2022-04-04 17:36:38,46.0725,30.4654,41.97,71,99,14.9
154,Upata,VE,2022-04-04 17:36:39,8.0086,-62.3989,88.81,44,80,6.76
155,Nobres,BR,2022-04-04 17:36:39,-14.7203,-56.3275,89.02,48,1,4.05
156,Cape Town,ZA,2022-04-04 17:35:14,-33.9258,18.4232,65.88,85,20,11.5
157,Cayenne,GF,2022-04-04 17:36:40,4.9333,-52.3333,83.08,1,75,9.22
158,Mbini,GQ,2022-04-04 17:36:40,1.574,9.6134,81.63,74,85,10.33
159,Sao Filipe,CV,2022-04-04 17:36:41,14.8961,-24.4956,71.29,74,9,11.54
160,Gat,IL,2022-04-04 17:34:00,31.61,34.7642,69.82,100,16,8.5
161,Ambunti,PG,2022-04-04 17:36:41,-4.2365,142.8448,73.71,99,100,1.95
162,Spornoye,RU,2022-04-04 17:36:42,50.8448,37.2913,32.29,75,79,7.45
163,Nuuk,GL,2022-04-04 17:36:42,64.1835,-51.7216,36.21,80,75,2.3
164,Tiksi,RU,2022-04-04 17:36:42,71.6872,128.8694,-7.51,100,100,4.99
165,Zhigansk,RU,2022-04-04 17:36:43,66.7697,123.3711,-1.93,96,91,12.97
166,Vila Velha,BR,2022-04-04 17:36:43,-20.3297,-40.2925,87.75,67,20,11.5
167,Aklavik,CA,2022-04-04 17:36:44,68.2191,-135.0107,-11.83,84,99,11.65
168,Cabo San Lucas,MX,2022-04-04 17:36:44,22.8909,-109.9124,77.61,61,0,17.27
169,Kurilsk,RU,2022-04-04 17:36:44,45.2333,147.8833,37.09,78,19,5.23
170,Vetlanda,SE,2022-04-04 17:36:45,57.4289,15.0776,36.27,97,100,12.82
171,Luderitz,NA,2022-04-04 17:36:45,-26.6481,15.1594,60.84,80,0,6.38
172,Coahuayana,MX,2022-04-04 17:36:46,18.7333,-103.6833,85.05,44,21,7.76
173,Leningradskiy,RU,2022-04-04 17:36:46,69.3833,178.4167,-14.57,99,100,4.72
174,Nabire,ID,2022-04-04 17:36:46,-3.3667,135.4833,76.24,78,100,3.33
175,Solnechnyy,RU,2022-04-04 17:36:47,50.7214,136.6319,30.42,81,97,1.39
176,Khilok,RU,2022-04-04 17:36:47,51.3674,110.4676,6.06,91,6,3.85
177,Lavrentiya,RU,2022-04-04 17:36:48,65.5833,-171.0,-10.55,92,26,9.73
178,Dingle,PH,2022-04-04 17:36:48,10.9995,122.6711,76.21,90,99,7.05
179,Upernavik,GL,2022-04-04 17:36:49,72.7868,-56.1549,27.66,76,99,3.6
180,Torbay,CA,2022-04-04 17:35:32,47.6666,-52.7314,50.77,63,75,7.0
181,Yokadouma,CM,2022-04-04 17:36:49,3.5167,15.05,69.24,97,98,3.49
182,Komsomolskiy,UZ,2022-04-04 17:36:50,40.4272,71.7189,63.32,45,0,6.91
183,Mar Del Plata,AR,2022-04-04 17:33:16,-38.0023,-57.5575,71.62,33,0,14.97
184,Quatre Cocos,MU,2022-04-04 17:36:50,-20.2078,57.7625,78.91,82,100,11.88
185,Moree,AU,2022-04-04 17:37:51,-29.4667,149.85,64.42,88,75,8.05
186,Bubaque,GW,2022-04-04 17:37:51,11.2833,-15.8333,75.61,73,3,22.68
187,Half Moon Bay,US,2022-04-04 17:37:51,37.4636,-122.4286,65.1,66,0,18.41
188,San Rafael,AR,2022-04-04 17:33:25,-34.6177,-68.3301,76.12,15,0,12.19
189,Conde,BR,2022-04-04 17:37:52,-7.2597,-34.9075,85.46,66,40,14.97
190,Champerico,GT,2022-04-04 17:37:53,14.3,-91.9167,90.14,61,16,11.36
191,Okhotsk,RU,2022-04-04 17:37:53,59.3833,143.3,23.31,91,100,20.13
192,Dawlatabad,AF,2022-04-04 17:37:53,36.4141,64.9053,74.66,18,1,7.07
193,Samarai,PG,2022-04-04 17:37:54,-10.6167,150.6667,81.7,79,100,11.01
194,Dawei,MM,2022-04-04 17:37:54,14.0833,98.2,74.66,58,85,5.21
195,Erice,IT,2022-04-04 17:37:55,38.037,12.5865,50.36,77,20,6.91
196,Inhambane,MZ,2022-04-04 17:37:55,-23.865,35.3833,76.98,73,0,4.61
197,Tuatapere,NZ,2022-04-04 17:37:55,-46.1333,167.6833,55.65,87,100,5.68
198,Srednekolymsk,RU,2022-04-04 17:37:56,67.45,153.6833,-12.93,100,100,3.8
199,Castro,BR,2022-04-04 17:37:57,-24.7911,-50.0119,74.39,81,27,7.18
200,Fushun,CN,2022-04-04 17:37:57,41.8558,123.9233,53.31,48,61,18.92
201,Alakurtti,RU,2022-04-04 17:37:58,66.9672,30.3491,17.58,92,80,5.08
202,Mokhsogollokh,RU,2022-04-04 17:37:58,61.4681,128.9203,15.37,93,100,6.13
203,Juneau,US,2022-04-04 17:37:58,58.3019,-134.4197,38.21,94,40,0.0
204,Duluth,US,2022-04-04 17:35:50,46.7833,-92.1066,40.03,91,100,5.75
205,Port-Cartier,CA,2022-04-04 17:37:59,50.0334,-66.8654,39.42,92,64,6.26
206,Berlevag,NO,2022-04-04 17:37:59,70.8578,29.0864,19.4,68,100,10.18
207,Chumikan,RU,2022-04-04 17:38:00,54.7183,135.315,19.78,78,25,15.28
208,Husavik,IS,2022-04-04 17:38:00,66.0449,-17.3389,25.07,79,100,14.12
209,Fuling,CN,2022-04-04 17:38:01,29.7022,107.3919,55.6,94,100,1.9
210,Bereda,ES,2022-04-04 17:38:01,43.2686,-7.5406,46.58,67,6,10.51
